id,barcode,name,spec,unit,price,brand,supplier,made_in
1,6901121300298,500g万丽厕精,500g,瓶,4.50,万丽,广州市浪奇实业股份有限公司,广州
2,6901294171206,六神清凉爽肤沐浴露200ml,200ml,瓶,9.90,六神,上海家化联合股份有限公司,上海
3,6901294171213,六神清凉爽肤沐浴露450ml,450ml,瓶,17.50,六神,上海家化联合股份有限公司,上海
4,6901294171381,六神百合除菌香皂,125克,块,4.30,六神,上海家化联合股份有限公司,上海
5,6901294171794,六神除菌香皂（金盏菊）125g,125g,块,4.20,六神,上海家化联合股份有限公司,上海
6,6901294172159,六神冰凉超爽沐浴露200ml,200ml,瓶,10.50,六神,上海家化联合股份有限公司,上海
7,6901294177017,六神 清凉舒爽 祛痱止痒 花露水195ml,195ml,瓶,15,六神,上海家化联合股份有限公司,上海
8,6901294177024,六神 清凉舒爽 祛痱止痒 花露水95ml,95ml,瓶,10,六神,上海家化联合股份有限公司,上海
9,6901333290660,南方黑芝麻糊,360克,袋,9.90,南方黑芝麻,南方黑芝麻集团股份有限公司,广西
10,6901377002007,莲花味精,200克,包,3.60,莲花,莲花健康产业集团股份有限公司,郑州
11,6901377004001,莲花味精,400克,包,7.20,莲花,莲花健康产业集团股份有限公司,郑州
14,6901668053893,奧利奧迷你原味小餅乾,55G,桶,5.50,奧利奧,亿滋食品企业管理(上海)有限公司,江苏
15,6901668053916,奧利奧迷你巧克力餅乾,55G,桶,7.00,奧利奧,亿滋食品企业管理(上海)有限公司,江苏
16,6901668054012,亿滋卡夫/奥利奥夹心饼干/缤纷双果甜橙味+芒果味106g/盒食品零食 多种口味任选 儿童宝宝休闲零食 办公室小吃,106g,盒,23.0,奥利奥,亿滋食品企业管理(上海)有限公司,江苏
17,6901668054029,奥利奥缤纷双果味夹心饼干 树草莓+蓝莓味106g 盒装,106g/106g,包,6.5,奥利奥,亿滋食品企业管理(上海)有限公司,江苏
18,6901668054050,奥利奥130G夹心原味,130g,包,20.0,奥利奥,亿滋食品企业管理(上海)有限公司,江苏
19,6924097901160,黑金刚大蘑头小蘑菇松脆小饼干(普通饼干~香浓巧克力)33298_45克,45g,盒,3.6,黑金刚,天津市黑金刚食品有限公司,天津
24,6924254673503,糖水杨梅罐头,700g,瓶,13.50,欢乐家,湛江市欢乐家食品有限公司,广东
25,6924254673572,糖水桃罐头（久宝桃）,700g,瓶,8.2,欢乐家,湛江市欢乐家食品有限公司,广东
29,6924639900965,番茄调味酱,850g/罐,桶,98.18,欢悦,东莞市益康食品有限公司,广州
36,6925208622028,华萍 透明长方形居家户外旅行针线套装 便携缝纫工具202针线包,长方形,盒,11.30,华萍,台州市黄岩华萍生活用品有限公司,黄岩
37,6925208625012,华萍针线盒,方形,个,3.00,华萍,台州市黄岩华萍生活用品有限公司,黄岩
38,6925303713386,小当家脆脆面 香葱口味,35g,包,0.50,小当家,统一企业(中国)投资有限公司,郑州
39,6920761200478,加加老抽王酱油,500ml,瓶,5.60,加加,加加食品集团股份有限公司,郑州
40,6920761200485,加加香醋,800毫升,桶,7.80,加加,加加食品集团股份有限公司,郑州
41,6920761200638,加加黄豆酱油,800ml,毫升,7.90,加加,加加食品集团股份有限公司,郑州
42,6920761200669,100g加加鸡精,100g,包,4.50,加加,加加食品集团股份有限公司,长沙
43,6920761200676,加加鸡精鸡精调味料,200g,包,7.50,加加,加加食品集团股份有限公司,长沙
44,6920761200706,加加面条鲜生抽酱油,500ml,毫升,8.90,加加,加加食品集团股份有限公司,郑州
45,6920761200805,加加新一代特制酱油500ml,500ml,瓶,8.80,加加,加加食品集团股份有限公司,郑州
47,6920761202090,800加加陈醋,800ml,桶,7.80,加加,加加食品集团股份有限公司,郑州
48,6920761202120,加加糯米白醋,500ml,瓶,4.80,加加,加加食品集团股份有限公司,郑州
49,6920761202175,500ml珍鲜老抽,500ml,瓶,6.60,加加,加加食品集团股份有限公司,郑州
50,6920761202205,800ml红烧老抽王,800ml,壶,7.5,加加,加加食品集团股份有限公司,郑州
51,6920761215687,加加l红烧酱油,500ml,瓶,4.80,加加,加加食品集团股份有限公司,郑州
52,6920761221084,加加味精,200g,包,4.50,加加,加加食品集团股份有限公司,长沙
53,6920761221107,加加味精,400g,包,9.60,加加,加加食品集团股份有限公司,湖南长沙
54,6920761221114,加加味精,100g,袋,2.90,加加,加加食品集团股份有限公司,长沙
